id,game_no,game_name,game_code,type,cost_price,tax,sale_price,date_of_sale
1877,73,GAME 73ZZZZZZZZZZZZZ,G73ZZ,1,33.33,3.00,40.00,2024-04-17 01:48:36
1878,51,GAME 51ZZZZZZZZZZZZZ,G51ZZ,1,64.41,5.80,77.29,2024-04-11 00:55:30
1879,14,GAME 14ZZZZZZZZZZZZZ,G14ZZ,2,91.89,8.27,110.27,2024-04-15 16:27:13
1880,41,GAME 41ZZZZZZZZZZZZZ,G41ZZ,1,43.44,3.91,52.13,2024-04-16 20:58:38
1881,35,GAME 35ZZZZZZZZZZZZZ,G35ZZ,2,43.12,3.88,51.74,2024-04-13 08:48:29
1882,80,GAME 80ZZZZZZZZZZZZZ,G80ZZ,2,10.46,0.94,12.55,2024-04-02 05:27:47
1883,32,GAME 32ZZZZZZZZZZZZZ,G32ZZ,2,43.15,3.88,51.78,2024-04-28 08:03:37
1884,53,GAME 53ZZZZZZZZZZZZZ,G53ZZ,1,30.89,2.78,37.07,2024-04-11 15:39:10
1885,29,GAME 29ZZZZZZZZZZZZZ,G29ZZ,1,92.40,8.32,110.88,2024-04-17 20:44:57
1886,55,GAME 55ZZZZZZZZZZZZZ,G55ZZ,1,84.17,7.58,101.00,2024-04-05 07:56:57
1887,84,GAME 84ZZZZZZZZZZZZZ,G84ZZ,1,97.91,8.81,117.49,2024-04-25 05:01:34
1888,34,GAME 34ZZZZZZZZZZZZZ,G34ZZ,1,9.90,0.89,11.88,2024-04-18 18:36:35
1889,58,GAME 58ZZZZZZZZZZZZZ,G58ZZ,1,85.53,7.70,102.64,2024-04-05 20:28:22
1890,97,GAME 97ZZZZZZZZZZZZZ,G97ZZ,2,88.03,7.92,105.64,2024-04-20 04:08:44
1891,16,GAME 16ZZZZZZZZZZZZZ,G16ZZ,2,73.27,6.59,87.92,2024-04-19 13:07:44
1892,73,GAME 73ZZZZZZZZZZZZZ,G73ZZ,2,31.83,2.86,38.20,2024-04-05 21:30:24
1893,69,GAME 69ZZZZZZZZZZZZZ,G69ZZ,1,50.25,4.52,60.30,2024-04-23 07:14:41
1894,47,GAME 47ZZZZZZZZZZZZZ,G47ZZ,1,3.07,0.28,3.68,2024-04-07 09:45:06
1895,37,GAME 37ZZZZZZZZZZZZZ,G37ZZ,1,50.13,4.51,60.16,2024-04-07 19:41:00
1896,3,GAME 3ZZZZZZZZZZZZZZ,G3ZZZ,2,49.78,4.48,59.74,2024-04-15 22:40:16
1897,30,GAME 30ZZZZZZZZZZZZZ,G30ZZ,2,64.81,5.83,77.77,2024-04-05 12:14:37
1898,100,GAME 100ZZZZZZZZZZZZ,G100Z,1,4.22,0.38,5.06,2024-04-27 18:59:12
1899,87,GAME 87ZZZZZZZZZZZZZ,G87ZZ,1,15.55,1.40,18.66,2024-04-02 12:37:04
1900,80,GAME 80ZZZZZZZZZZZZZ,G80ZZ,1,58.93,5.30,70.72,2024-04-19 19:21:48
1901,74,GAME 74ZZZZZZZZZZZZZ,G74ZZ,1,6.32,0.57,7.58,2024-04-18 22:05:12
1902,24,GAME 24ZZZZZZZZZZZZZ,G24ZZ,1,94.39,8.50,113.27,2024-04-21 20:16:00
1903,97,GAME 97ZZZZZZZZZZZZZ,G97ZZ,2,2.61,0.23,3.13,2024-04-24 10:04:58
1904,80,GAME 80ZZZZZZZZZZZZZ,G80ZZ,2,56.01,5.04,67.21,2024-04-18 07:13:08
1905,77,GAME 77ZZZZZZZZZZZZZ,G77ZZ,1,52.56,4.73,63.07,2024-04-20 05:45:44
1906,53,GAME 53ZZZZZZZZZZZZZ,G53ZZ,2,51.00,4.59,61.20,2024-04-11 12:29:36
1907,40,GAME 40ZZZZZZZZZZZZZ,G40ZZ,1,40.59,3.65,48.71,2024-04-18 06:53:39
1908,48,GAME 48ZZZZZZZZZZZZZ,G48ZZ,2,46.80,4.21,56.16,2024-04-05 09:47:02
1909,2,GAME 2ZZZZZZZZZZZZZZ,G2ZZZ,1,4.92,0.44,5.90,2024-04-24 19:34:17
1910,1,GAME 1ZZZZZZZZZZZZZZ,G1ZZZ,2,28.94,2.60,34.73,2024-04-20 22:38:07
1911,87,GAME 87ZZZZZZZZZZZZZ,G87ZZ,2,75.03,6.75,90.04,2024-04-28 16:06:50
1912,52,GAME 52ZZZZZZZZZZZZZ,G52ZZ,1,3.97,0.36,4.76,2024-04-08 08:56:34
1913,88,GAME 88ZZZZZZZZZZZZZ,G88ZZ,2,82.83,7.45,99.40,2024-04-20 13:28:35
1914,4,GAME 4ZZZZZZZZZZZZZZ,G4ZZZ,2,86.81,7.81,104.17,2024-04-02 15:54:15
1915,23,GAME 23ZZZZZZZZZZZZZ,G23ZZ,2,60.51,5.45,72.61,2024-04-15 21:36:48
1916,2,GAME 2ZZZZZZZZZZZZZZ,G2ZZZ,2,74.05,6.66,88.86,2024-04-03 00:25:56
1917,69,GAME 69ZZZZZZZZZZZZZ,G69ZZ,1,69.50,6.26,83.40,2024-04-24 16:29:47
1918,37,GAME 37ZZZZZZZZZZZZZ,G37ZZ,1,96.92,8.72,116.30,2024-04-09 09:58:45
1919,11,GAME 11ZZZZZZZZZZZZZ,G11ZZ,2,69.33,6.24,83.20,2024-04-08 04:26:55
1920,68,GAME 68ZZZZZZZZZZZZZ,G68ZZ,2,49.35,4.44,59.22,2024-04-14 09:31:35
1921,33,GAME 33ZZZZZZZZZZZZZ,G33ZZ,2,64.69,5.82,77.63,2024-04-07 22:34:22
1922,56,GAME 56ZZZZZZZZZZZZZ,G56ZZ,1,66.22,5.96,79.46,2024-04-08 22:22:17
1923,100,GAME 100ZZZZZZZZZZZZ,G100Z,1,96.65,8.70,115.98,2024-04-12 14:25:15
1924,68,GAME 68ZZZZZZZZZZZZZ,G68ZZ,1,60.71,5.46,72.85,2024-04-23 18:21:58
1925,74,GAME 74ZZZZZZZZZZZZZ,G74ZZ,1,23.95,2.16,28.74,2024-04-05 03:34:51
1926,19,GAME 19ZZZZZZZZZZZZZ,G19ZZ,1,32.88,2.96,39.46,2024-04-10 23:09:35
1927,13,GAME 13ZZZZZZZZZZZZZ,G13ZZ,2,76.51,6.89,91.81,2024-04-16 08:11:36
1928,34,GAME 34ZZZZZZZZZZZZZ,G34ZZ,2,7.98,0.72,9.58,2024-04-22 18:17:38
1929,1,GAME 1ZZZZZZZZZZZZZZ,G1ZZZ,1,33.21,2.99,39.85,2024-04-11 10:56:08
1930,48,GAME 48ZZZZZZZZZZZZZ,G48ZZ,2,13.30,1.20,15.96,2024-04-01 09:58:12
1931,30,GAME 30ZZZZZZZZZZZZZ,G30ZZ,1,54.25,4.88,65.10,2024-04-19 18:51:11
1932,27,GAME 27ZZZZZZZZZZZZZ,G27ZZ,2,28.81,2.59,34.57,2024-04-14 15:57:27
1933,18,GAME 18ZZZZZZZZZZZZZ,G18ZZ,1,84.90,7.64,101.88,2024-04-20 19:30:26
1934,52,GAME 52ZZZZZZZZZZZZZ,G52ZZ,2,56.10,5.05,67.32,2024-04-28 04:12:39
1935,43,GAME 43ZZZZZZZZZZZZZ,G43ZZ,2,88.67,7.98,106.40,2024-04-04 14:50:07
1936,54,GAME 54ZZZZZZZZZZZZZ,G54ZZ,2,11.09,1.00,13.31,2024-04-30 14:49:15
1937,86,GAME 86ZZZZZZZZZZZZZ,G86ZZ,2,85.36,7.68,102.43,2024-04-07 01:19:04
1938,36,GAME 36ZZZZZZZZZZZZZ,G36ZZ,1,13.17,1.19,15.80,2024-04-27 03:13:24
1939,24,GAME 24ZZZZZZZZZZZZZ,G24ZZ,2,81.89,7.37,98.27,2024-04-23 12:37:17
1940,22,GAME 22ZZZZZZZZZZZZZ,G22ZZ,2,81.88,7.37,98.26,2024-04-15 20:07:22
1941,99,GAME 99ZZZZZZZZZZZZZ,G99ZZ,2,34.03,3.06,40.84,2024-04-28 03:46:08
1942,38,GAME 38ZZZZZZZZZZZZZ,G38ZZ,2,63.30,5.70,75.96,2024-04-04 16:07:54
1943,18,GAME 18ZZZZZZZZZZZZZ,G18ZZ,1,56.59,5.09,67.91,2024-04-02 19:39:43
1944,64,GAME 64ZZZZZZZZZZZZZ,G64ZZ,2,54.23,4.88,65.08,2024-04-06 23:12:31
1945,16,GAME 16ZZZZZZZZZZZZZ,G16ZZ,2,72.28,6.51,86.74,2024-04-01 03:54:33
1946,67,GAME 67ZZZZZZZZZZZZZ,G67ZZ,1,21.47,1.93,25.76,2024-04-14 21:50:09
1947,99,GAME 99ZZZZZZZZZZZZZ,G99ZZ,2,18.57,1.67,22.28,2024-04-15 17:28:01
1948,59,GAME 59ZZZZZZZZZZZZZ,G59ZZ,1,84.21,7.58,101.05,2024-04-26 22:33:19
1949,9,GAME 9ZZZZZZZZZZZZZZ,G9ZZZ,2,4.42,0.40,5.30,2024-04-18 16:30:33
1950,62,GAME 62ZZZZZZZZZZZZZ,G62ZZ,1,35.92,3.23,43.10,2024-04-05 23:43:28
1951,96,GAME 96ZZZZZZZZZZZZZ,G96ZZ,1,58.16,5.23,69.79,2024-04-02 01:50:48
1952,75,GAME 75ZZZZZZZZZZZZZ,G75ZZ,2,83.35,7.50,100.02,2024-04-18 01:41:49
1953,92,GAME 92ZZZZZZZZZZZZZ,G92ZZ,2,44.37,3.99,53.24,2024-04-17 21:29:43
1954,54,GAME 54ZZZZZZZZZZZZZ,G54ZZ,1,16.27,1.46,19.52,2024-04-19 17:18:45
1955,90,GAME 90ZZZZZZZZZZZZZ,G90ZZ,1,55.96,5.04,67.15,2024-04-19 13:46:29
1956,52,GAME 52ZZZZZZZZZZZZZ,G52ZZ,2,45.76,4.12,54.91,2024-04-07 08:38:52
1957,7,GAME 7ZZZZZZZZZZZZZZ,G7ZZZ,1,39.83,3.58,47.80,2024-04-29 09:32:25
1958,54,GAME 54ZZZZZZZZZZZZZ,G54ZZ,2,49.08,4.42,58.90,2024-04-03 02:10:29
1959,22,GAME 22ZZZZZZZZZZZZZ,G22ZZ,1,67.69,6.09,81.23,2024-04-13 00:23:19
1960,14,GAME 14ZZZZZZZZZZZZZ,G14ZZ,1,86.27,7.76,103.52,2024-04-30 11:18:58
1961,99,GAME 99ZZZZZZZZZZZZZ,G99ZZ,2,70.80,6.37,84.96,2024-04-06 15:23:10
1962,63,GAME 63ZZZZZZZZZZZZZ,G63ZZ,1,41.99,3.78,50.39,2024-04-08 06:09:42
1963,67,GAME 67ZZZZZZZZZZZZZ,G67ZZ,2,68.68,6.18,82.42,2024-04-30 09:08:01
1964,71,GAME 71ZZZZZZZZZZZZZ,G71ZZ,1,43.57,3.92,52.28,2024-04-22 06:47:18
1965,45,GAME 45ZZZZZZZZZZZZZ,G45ZZ,1,10.99,0.99,13.19,2024-04-06 00:44:05
1966,78,GAME 78ZZZZZZZZZZZZZ,G78ZZ,1,94.21,8.48,113.05,2024-04-30 00:02:42
1967,91,GAME 91ZZZZZZZZZZZZZ,G91ZZ,2,41.58,3.74,49.90,2024-04-28 23:05:26
1968,86,GAME 86ZZZZZZZZZZZZZ,G86ZZ,1,83.02,7.47,99.62,2024-04-22 11:15:07
1969,98,GAME 98ZZZZZZZZZZZZZ,G98ZZ,1,79.80,7.18,95.76,2024-04-24 06:18:40
1970,77,GAME 77ZZZZZZZZZZZZZ,G77ZZ,2,20.10,1.81,24.12,2024-04-05 20:21:46
1971,11,GAME 11ZZZZZZZZZZZZZ,G11ZZ,1,90.34,8.13,108.41,2024-04-10 12:01:52
1972,84,GAME 84ZZZZZZZZZZZZZ,G84ZZ,2,35.57,3.20,42.68,2024-04-14 03:43:19
1973,67,GAME 67ZZZZZZZZZZZZZ,G67ZZ,1,97.76,8.80,117.31,2024-04-12 03:58:03
1974,10,GAME 10ZZZZZZZZZZZZZ,G10ZZ,2,52.60,4.73,63.12,2024-04-24 11:23:19
1975,2,GAME 2ZZZZZZZZZZZZZZ,G2ZZZ,2,60.39,5.44,72.47,2024-04-21 13:45:57
1976,45,GAME 45ZZZZZZZZZZZZZ,G45ZZ,2,33.28,3.00,39.94,2024-04-22 08:37:18
1977,13,GAME 13ZZZZZZZZZZZZZ,G13ZZ,1,91.25,8.21,109.50,2024-04-03 16:27:38
1978,37,GAME 37ZZZZZZZZZZZZZ,G37ZZ,2,26.05,2.34,31.26,2024-04-22 11:47:15
1979,13,GAME 13ZZZZZZZZZZZZZ,G13ZZ,2,38.00,3.42,45.60,2024-04-24 09:52:02
1980,34,GAME 34ZZZZZZZZZZZZZ,G34ZZ,1,47.59,4.28,57.11,2024-04-06 15:39:41
1981,4,GAME 4ZZZZZZZZZZZZZZ,G4ZZZ,1,71.34,6.42,85.61,2024-04-24 14:48:15
1982,57,GAME 57ZZZZZZZZZZZZZ,G57ZZ,1,81.91,7.37,98.29,2024-04-18 03:39:06
1983,55,GAME 55ZZZZZZZZZZZZZ,G55ZZ,2,92.64,8.34,111.17,2024-04-13 18:51:30
1984,7,GAME 7ZZZZZZZZZZZZZZ,G7ZZZ,2,4.43,0.40,5.32,2024-04-29 06:20:42
1985,62,GAME 62ZZZZZZZZZZZZZ,G62ZZ,2,38.17,3.44,45.80,2024-04-18 02:51:51
1986,6,GAME 6ZZZZZZZZZZZZZZ,G6ZZZ,1,57.11,5.14,68.53,2024-04-23 03:15:51
1987,69,GAME 69ZZZZZZZZZZZZZ,G69ZZ,1,12.86,1.16,15.43,2024-04-07 14:28:50
1988,65,GAME 65ZZZZZZZZZZZZZ,G65ZZ,2,39.43,3.55,47.32,2024-04-25 16:50:14
1989,19,GAME 19ZZZZZZZZZZZZZ,G19ZZ,1,35.28,3.18,42.34,2024-04-03 04:07:11
1990,67,GAME 67ZZZZZZZZZZZZZ,G67ZZ,2,2.76,0.25,3.31,2024-04-30 04:04:07
1991,33,GAME 33ZZZZZZZZZZZZZ,G33ZZ,2,70.61,6.35,84.73,2024-04-12 10:40:04
1992,3,GAME 3ZZZZZZZZZZZZZZ,G3ZZZ,1,68.38,6.15,82.06,2024-04-19 20:47:41
1993,65,GAME 65ZZZZZZZZZZZZZ,G65ZZ,1,98.32,8.85,117.98,2024-04-07 16:17:49
1994,4,GAME 4ZZZZZZZZZZZZZZ,G4ZZZ,2,40.73,3.67,48.88,2024-04-04 22:58:13
1995,98,GAME 98ZZZZZZZZZZZZZ,G98ZZ,2,29.90,2.69,35.88,2024-04-20 10:21:59
1996,100,GAME 100ZZZZZZZZZZZZ,G100Z,1,80.90,7.28,97.08,2024-04-19 15:10:32
1997,89,GAME 89ZZZZZZZZZZZZZ,G89ZZ,2,9.48,0.85,11.38,2024-04-30 03:49:56
1998,55,GAME 55ZZZZZZZZZZZZZ,G55ZZ,1,97.47,8.77,116.96,2024-04-15 15:13:36
1999,20,GAME 20ZZZZZZZZZZZZZ,G20ZZ,2,93.21,8.39,111.85,2024-04-10 12:21:44
2000,66,GAME 66ZZZZZZZZZZZZZ,G66ZZ,2,20.80,1.87,24.96,2024-04-11 20:55:11
2001,6,GAME 6ZZZZZZZZZZZZZZ,G6ZZZ,2,82.78,7.45,99.34,2024-04-12 15:53:33
2002,13,GAME 13ZZZZZZZZZZZZZ,G13ZZ,2,57.98,5.22,69.58,2024-04-11 18:50:26
2003,63,GAME 63ZZZZZZZZZZZZZ,G63ZZ,1,54.16,4.87,64.99,2024-04-15 12:46:59
2004,22,GAME 22ZZZZZZZZZZZZZ,G22ZZ,2,93.67,8.43,112.40,2024-04-08 00:47:07
2005,91,GAME 91ZZZZZZZZZZZZZ,G91ZZ,1,66.03,5.94,79.24,2024-04-22 20:56:55
2006,69,GAME 69ZZZZZZZZZZZZZ,G69ZZ,1,58.18,5.24,69.82,2024-04-17 22:29:20
2007,84,GAME 84ZZZZZZZZZZZZZ,G84ZZ,1,96.33,8.67,115.60,2024-04-06 05:58:17
2008,2,GAME 2ZZZZZZZZZZZZZZ,G2ZZZ,1,40.79,3.67,48.95,2024-04-12 12:31:22
2009,64,GAME 64ZZZZZZZZZZZZZ,G64ZZ,2,52.60,4.73,63.12,2024-04-15 05:39:36
2010,82,GAME 82ZZZZZZZZZZZZZ,G82ZZ,1,81.79,7.36,98.15,2024-04-13 09:40:54
2011,36,GAME 36ZZZZZZZZZZZZZ,G36ZZ,2,46.44,4.18,55.73,2024-04-14 22:55:34
2012,1,GAME 1ZZZZZZZZZZZZZZ,G1ZZZ,1,39.77,3.58,47.72,2024-04-06 08:56:59
2013,11,GAME 11ZZZZZZZZZZZZZ,G11ZZ,1,50.90,4.58,61.08,2024-04-29 08:05:47
2014,55,GAME 55ZZZZZZZZZZZZZ,G55ZZ,1,46.28,4.17,55.54,2024-04-21 07:58:14
2015,91,GAME 91ZZZZZZZZZZZZZ,G91ZZ,2,55.88,5.03,67.06,2024-04-24 04:32:24
2016,95,GAME 95ZZZZZZZZZZZZZ,G95ZZ,2,34.62,3.12,41.54,2024-04-17 23:23:11
2017,43,GAME 43ZZZZZZZZZZZZZ,G43ZZ,1,60.28,5.43,72.34,2024-04-28 19:05:06
2018,53,GAME 53ZZZZZZZZZZZZZ,G53ZZ,2,54.46,4.90,65.35,2024-04-04 21:40:38
2019,38,GAME 38ZZZZZZZZZZZZZ,G38ZZ,1,46.15,4.15,55.38,2024-04-10 15:21:44
2020,42,GAME 42ZZZZZZZZZZZZZ,G42ZZ,2,62.60,5.63,75.12,2024-04-30 23:18:19
2021,95,GAME 95ZZZZZZZZZZZZZ,G95ZZ,1,50.58,4.55,60.70,2024-04-25 10:44:29
2022,91,GAME 91ZZZZZZZZZZZZZ,G91ZZ,1,50.43,4.54,60.52,2024-04-27 17:44:45
2023,38,GAME 38ZZZZZZZZZZZZZ,G38ZZ,2,13.60,1.22,16.32,2024-04-10 09:38:25
2024,80,GAME 80ZZZZZZZZZZZZZ,G80ZZ,1,31.78,2.86,38.14,2024-04-26 20:55:37
2025,59,GAME 59ZZZZZZZZZZZZZ,G59ZZ,2,37.47,3.37,44.96,2024-04-01 18:00:22
2026,80,GAME 80ZZZZZZZZZZZZZ,G80ZZ,2,54.16,4.87,64.99,2024-04-28 18:58:13
2027,94,GAME 94ZZZZZZZZZZZZZ,G94ZZ,1,44.01,3.96,52.81,2024-04-19 08:54:39
2028,85,GAME 85ZZZZZZZZZZZZZ,G85ZZ,1,11.31,1.02,13.57,2024-04-16 08:53:54
2029,19,GAME 19ZZZZZZZZZZZZZ,G19ZZ,2,87.44,7.87,104.93,2024-04-28 23:16:15
2030,70,GAME 70ZZZZZZZZZZZZZ,G70ZZ,2,55.19,4.97,66.23,2024-04-19 04:58:46
2031,40,GAME 40ZZZZZZZZZZZZZ,G40ZZ,1,41.12,3.70,49.34,2024-04-21 19:25:05
2032,58,GAME 58ZZZZZZZZZZZZZ,G58ZZ,1,26.71,2.40,32.05,2024-04-08 22:04:19
2033,94,GAME 94ZZZZZZZZZZZZZ,G94ZZ,2,75.36,6.78,90.43,2024-04-09 23:57:12
2034,92,GAME 92ZZZZZZZZZZZZZ,G92ZZ,1,24.94,2.24,29.93,2024-04-10 01:00:56
2035,69,GAME 69ZZZZZZZZZZZZZ,G69ZZ,2,22.39,2.02,26.87,2024-04-10 20:09:31
2036,22,GAME 22ZZZZZZZZZZZZZ,G22ZZ,1,4.50,0.41,5.40,2024-04-24 16:47:59
2037,63,GAME 63ZZZZZZZZZZZZZ,G63ZZ,1,52.98,4.77,63.58,2024-04-03 10:07:58
2038,34,GAME 34ZZZZZZZZZZZZZ,G34ZZ,2,57.33,5.16,68.80,2024-04-14 23:40:07
2039,28,GAME 28ZZZZZZZZZZZZZ,G28ZZ,2,82.21,7.40,98.65,2024-04-27 00:22:15
2040,51,GAME 51ZZZZZZZZZZZZZ,G51ZZ,2,84.53,7.61,101.44,2024-04-16 19:02:27
2041,28,GAME 28ZZZZZZZZZZZZZ,G28ZZ,2,69.25,6.23,83.10,2024-04-19 20:08:09
2042,9,GAME 9ZZZZZZZZZZZZZZ,G9ZZZ,1,69.95,6.30,83.94,2024-04-21 19:22:58
2043,62,GAME 62ZZZZZZZZZZZZZ,G62ZZ,1,65.95,5.94,79.14,2024-04-04 22:47:36
2044,28,GAME 28ZZZZZZZZZZZZZ,G28ZZ,2,13.88,1.25,16.66,2024-04-24 01:58:40
2045,94,GAME 94ZZZZZZZZZZZZZ,G94ZZ,1,12.89,1.16,15.47,2024-04-22 08:13:09
2046,36,GAME 36ZZZZZZZZZZZZZ,G36ZZ,1,92.10,8.29,110.52,2024-04-19 15:40:55
2047,93,GAME 93ZZZZZZZZZZZZZ,G93ZZ,2,38.79,3.49,46.55,2024-04-23 12:02:21
2048,56,GAME 56ZZZZZZZZZZZZZ,G56ZZ,1,54.25,4.88,65.10,2024-04-07 04:43:33
2049,61,GAME 61ZZZZZZZZZZZZZ,G61ZZ,2,23.79,2.14,28.55,2024-04-10 14:16:00
2050,7,GAME 7ZZZZZZZZZZZZZZ,G7ZZZ,2,32.42,2.92,38.90,2024-04-16 22:42:18
2051,72,GAME 72ZZZZZZZZZZZZZ,G72ZZ,1,70.41,6.34,84.49,2024-04-11 23:57:00
2052,23,GAME 23ZZZZZZZZZZZZZ,G23ZZ,2,74.02,6.66,88.82,2024-04-20 16:06:19
2053,11,GAME 11ZZZZZZZZZZZZZ,G11ZZ,2,42.89,3.86,51.47,2024-04-01 22:40:47
2054,5,GAME 5ZZZZZZZZZZZZZZ,G5ZZZ,1,56.34,5.07,67.61,2024-04-26 05:47:11
2055,1,GAME 1ZZZZZZZZZZZZZZ,G1ZZZ,2,90.62,8.16,108.74,2024-04-13 13:48:02
2056,38,GAME 38ZZZZZZZZZZZZZ,G38ZZ,2,57.71,5.19,69.25,2024-04-24 09:20:56
2057,40,GAME 40ZZZZZZZZZZZZZ,G40ZZ,1,40.45,3.64,48.54,2024-04-23 16:24:40
2058,78,GAME 78ZZZZZZZZZZZZZ,G78ZZ,2,14.02,1.26,16.82,2024-04-18 02:27:07
2059,16,GAME 16ZZZZZZZZZZZZZ,G16ZZ,1,2.10,0.19,2.52,2024-04-06 20:45:04
2060,35,GAME 35ZZZZZZZZZZZZZ,G35ZZ,2,48.86,4.40,58.63,2024-04-16 08:59:31
2061,42,GAME 42ZZZZZZZZZZZZZ,G42ZZ,2,79.31,7.14,95.17,2024-04-27 16:21:07
2062,12,GAME 12ZZZZZZZZZZZZZ,G12ZZ,2,40.69,3.66,48.83,2024-04-05 19:20:34
2063,53,GAME 53ZZZZZZZZZZZZZ,G53ZZ,1,64.13,5.77,76.96,2024-04-18 22:57:10
2064,7,GAME 7ZZZZZZZZZZZZZZ,G7ZZZ,1,47.58,4.28,57.10,2024-04-27 00:05:39
2065,69,GAME 69ZZZZZZZZZZZZZ,G69ZZ,2,33.52,3.02,40.22,2024-04-12 10:02:58
2066,73,GAME 73ZZZZZZZZZZZZZ,G73ZZ,2,5.20,0.47,6.24,2024-04-26 12:13:21
2067,72,GAME 72ZZZZZZZZZZZZZ,G72ZZ,2,86.04,7.74,103.25,2024-04-15 20:13:49
2068,18,GAME 18ZZZZZZZZZZZZZ,G18ZZ,1,10.86,0.98,13.03,2024-04-21 20:20:00
2069,62,GAME 62ZZZZZZZZZZZZZ,G62ZZ,2,93.52,8.42,112.22,2024-04-27 17:00:03
2070,41,GAME 41ZZZZZZZZZZZZZ,G41ZZ,1,8.02,0.72,9.62,2024-04-02 09:21:51
2071,89,GAME 89ZZZZZZZZZZZZZ,G89ZZ,1,90.48,8.14,108.58,2024-04-21 09:16:40
2072,10,GAME 10ZZZZZZZZZZZZZ,G10ZZ,2,52.97,4.77,63.56,2024-04-26 11:23:31
2073,87,GAME 87ZZZZZZZZZZZZZ,G87ZZ,1,46.34,4.17,55.61,2024-04-04 06:32:05
2074,79,GAME 79ZZZZZZZZZZZZZ,G79ZZ,1,27.19,2.45,32.63,2024-04-27 05:14:34
2075,16,GAME 16ZZZZZZZZZZZZZ,G16ZZ,1,25.35,2.28,30.42,2024-04-12 05:49:46
2076,60,GAME 60ZZZZZZZZZZZZZ,G60ZZ,1,13.79,1.24,16.55,2024-04-01 19:27:33
2077,72,GAME 72ZZZZZZZZZZZZZ,G72ZZ,1,23.99,2.16,28.79,2024-04-13 18:32:49
2078,79,GAME 79ZZZZZZZZZZZZZ,G79ZZ,1,80.10,7.21,96.12,2024-04-09 19:37:27
2079,25,GAME 25ZZZZZZZZZZZZZ,G25ZZ,1,18.21,1.64,21.85,2024-04-24 03:15:59
2080,89,GAME 89ZZZZZZZZZZZZZ,G89ZZ,2,55.78,5.02,66.94,2024-04-12 21:33:12
2081,34,GAME 34ZZZZZZZZZZZZZ,G34ZZ,2,64.06,5.77,76.87,2024-04-14 21:08:31
2082,92,GAME 92ZZZZZZZZZZZZZ,G92ZZ,1,10.10,0.91,12.12,2024-04-25 22:45:03
2083,12,GAME 12ZZZZZZZZZZZZZ,G12ZZ,2,79.63,7.17,95.56,2024-04-14 09:39:09
2084,25,GAME 25ZZZZZZZZZZZZZ,G25ZZ,1,64.79,5.83,77.75,2024-04-27 06:46:07
2085,58,GAME 58ZZZZZZZZZZZZZ,G58ZZ,2,25.20,2.27,30.24,2024-04-17 12:28:41
2086,70,GAME 70ZZZZZZZZZZZZZ,G70ZZ,2,19.63,1.77,23.56,2024-04-04 06:29:43
2087,65,GAME 65ZZZZZZZZZZZZZ,G65ZZ,1,70.55,6.35,84.66,2024-04-16 19:11:53
2088,73,GAME 73ZZZZZZZZZZZZZ,G73ZZ,1,66.25,5.96,79.50,2024-04-21 15:25:52
2089,33,GAME 33ZZZZZZZZZZZZZ,G33ZZ,1,44.60,4.01,53.52,2024-04-30 12:53:23
2090,95,GAME 95ZZZZZZZZZZZZZ,G95ZZ,1,56.97,5.13,68.36,2024-04-30 05:57:57
2091,7,GAME 7ZZZZZZZZZZZZZZ,G7ZZZ,2,55.10,4.96,66.12,2024-04-07 05:39:59
2092,17,GAME 17ZZZZZZZZZZZZZ,G17ZZ,1,26.78,2.41,32.14,2024-04-16 18:32:44
2093,64,GAME 64ZZZZZZZZZZZZZ,G64ZZ,2,17.16,1.54,20.59,2024-04-27 17:37:45
2094,53,GAME 53ZZZZZZZZZZZZZ,G53ZZ,1,19.84,1.79,23.81,2024-04-04 02:12:55
2095,75,GAME 75ZZZZZZZZZZZZZ,G75ZZ,1,62.82,5.65,75.38,2024-04-23 06:15:37
2096,29,GAME 29ZZZZZZZZZZZZZ,G29ZZ,2,91.16,8.20,109.39,2024-04-11 12:48:22
2097,63,GAME 63ZZZZZZZZZZZZZ,G63ZZ,1,14.06,1.27,16.87,2024-04-23 10:19:21
2098,20,GAME 20ZZZZZZZZZZZZZ,G20ZZ,1,68.19,6.14,81.83,2024-04-15 04:19:13
2099,85,GAME 85ZZZZZZZZZZZZZ,G85ZZ,1,84.25,7.58,101.10,2024-04-05 23:02:06
2100,94,GAME 94ZZZZZZZZZZZZZ,G94ZZ,1,6.97,0.63,8.36,2024-04-16 00:49:55
2101,73,GAME 73ZZZZZZZZZZZZZ,G73ZZ,2,44.71,4.02,53.65,2024-04-01 12:31:01
2102,20,GAME 20ZZZZZZZZZZZZZ,G20ZZ,1,38.68,3.48,46.42,2024-04-05 18:15:38
2103,100,GAME 100ZZZZZZZZZZZZ,G100Z,2,20.03,1.80,24.04,2024-04-30 04:53:47
2104,88,GAME 88ZZZZZZZZZZZZZ,G88ZZ,1,12.85,1.16,15.42,2024-04-12 22:10:34
2105,17,GAME 17ZZZZZZZZZZZZZ,G17ZZ,2,98.30,8.85,117.96,2024-04-01 09:26:44
2106,63,GAME 63ZZZZZZZZZZZZZ,G63ZZ,2,25.92,2.33,31.10,2024-04-11 04:38:54
2107,29,GAME 29ZZZZZZZZZZZZZ,G29ZZ,1,97.67,8.79,117.20,2024-04-18 02:46:36
2108,13,GAME 13ZZZZZZZZZZZZZ,G13ZZ,2,12.29,1.11,14.75,2024-04-23 10:03:26
